term_sanskrit,devanagari,transliteration,primary_meaning,extended_meaning,modern_equivalent,appears_in_chapters,key_verse
Dharma,धर्म,dharma,"duty, righteousness, cosmic order","The moral law governing individual and cosmic existence. One's Dharma is the duty appropriate to one's nature, role, and stage of life. When Dharma declines, the universe is in peril.","purpose, integrity, moral duty","1,2,3,4,11,16,18",BG_4_7
Karma,कर्म,karma,"action, deed, the law of cause and effect",Every action creates an impression that shapes future experience. But karma is not fate — it is the natural consequence of conscious and unconscious actions. The Gita teaches nishkama karma: action without selfish attachment to results.,"cause and effect, consequences, moral responsibility","2,3,4,5,6,8,18",BG_2_47
Atman,आत्मन्,atman,"the eternal self, the individual soul","The Atman is the consciousness that witnesses all experience. It is not the body, not the mind, not the ego — it is the pure awareness behind all these. It is identical in nature to Brahman (the universal consciousness).","true self, consciousness, soul","2,6,13,15",BG_2_20
Brahman,ब्रह्मन्,brahman,"the ultimate, formless, infinite reality","The absolute, eternal, unchanging reality underlying all existence. Brahman is not a personal God but the ground of being itself. The Gita's Vedantic teaching is that the individual Atman and the universal Brahman are ultimately one.","ultimate reality, God, the ground of being, universal consciousness","4,5,7,8,10,13,14,15,18",BG_8_3
Maya,माया,maya,"illusion, the power of divine creative energy that creates apparent multiplicity","Maya is the cosmic illusion that causes beings to see separation where there is unity, temporality where there is eternity, and matter as the ultimate reality. Not a deception — more like a divine dream that feels real while you are in it.","illusion, the matrix, conditioned perception, forgetting our true nature","4,7,14,18",BG_7_14
Yoga,योग,yoga,"union, method, path","In the Gita, yoga means any systematic path toward union with the divine or liberation from suffering. The Gita presents multiple yogas: Jnana (knowledge), Bhakti (devotion), Karma (action), and Raja/Dhyana (meditation).","path, method, practice system",all 18,BG_2_48
Ahimsa,अहिंसा,ahimsa,"non-violence, non-harm","The principle of not causing harm to any living being in thought, word, or deed. One of the foundational divine qualities listed by Krishna in Chapter 16. The paradox: the Gita teaches ahimsa while also instructing Arjuna to fight — because true ahimsa includes fighting injustice.","non-violence, compassion, do no harm","10,13,16,17",BG_16_2
Sattva,सत्त्व,sattva,"clarity, purity, goodness","One of the three gunas (modes of nature). Sattva is characterized by clarity, knowledge, harmony, and virtue. When sattva predominates, a person thinks clearly, acts ethically, and is peaceful. Food, environment, and association all affect sattva.","clarity, purity, mindfulness, high consciousness","14,17,18",BG_14_6
Rajas,रजस्,rajas,"passion, activity, restlessness","The mode of passion and activity. Rajas drives ambition, desire, restlessness, and attachment to outcomes. In balance, rajas is productive energy. In excess, it creates greed, aggression, and burnout.","ambition, hyperactivity, hustle culture, type-A personality","14,17,18",BG_14_7
Tamas,तमस्,tamas,"inertia, darkness, ignorance","The mode of ignorance, inertia, and darkness. Tamas leads to delusion, laziness, excessive sleep, and resistance to growth. Tamasic consciousness cannot perceive reality clearly and falls into depression and stagnation.","laziness, depression, unconsciousness, stagnation","14,17,18",BG_14_8
